user_id,5114,2904,199,1575,9253,4181,431,1535,16498,4224,6547,121
1,,,,,,,,,-1,-1,-1,
2,,,,,,,,,,,,
3,10,,10,,,,,10,10,,,
4,,,,,,,,-1,-1,,-1,-1
5,,,8,,9,,,4,,3,3,
6,,,,,,,,-1,,,-1,
7,,9,,9,,9,,9,,,,8
8,,,,,,,,,,,,
9,,,,,,,,,,,,
10,10,,,,-1,,,-1,-1,,,
11,8,,10,,7,8,8,,9,,,7
12,9,10,,10,10,,,10,10,,,
13,,,-1,,-1,,-1,-1,,,,
14,,,,,9,9,,,8,,9,
15,,,,,,,,,,,,
16,,,,,,9,,9,,,8,
17,10,8,8,8,10,10,8,10,9,7,9,6
18,,,9,,,,10,10,,,,
19,9,,9,8,10,,,5,,,,8
20,,,,,,,,,,,,
21,9,9,10,9,,8,9,10,8,8,9,
22,,,,,,,,,,,10,
23,,,,,,,,,,,,
24,,,,,,,,,8,,9,
25,,10,,10,,10,,9,9,,,
26,,,,,,,,,,,-1,
27,,9,,9,,10,,8,9,9,9,
28,,,,,,,,,,10,10,
29,,,10,,10,,,10,8,,,8
30,10,,9,,,10,,8,9,,,10
31,-1,,,,,,,,,,7,
32,,,,,,,10,9,,,,
33,,9,,9,,,,10,10,,,
34,,,,,,9,,-1,-1,-1,,-1
35,,,,,,,,-1,-1,,-1,
36,,,,,,,,,,,,
37,,,10,,,,,,7,,8,
38,10,10,,10,,3,,6,10,,4,6
39,10,10,,10,-1,10,,10,10,-1,10,10
40,,,,,10,10,,10,,,,
41,,,,,,,,,10,10,9,
42,,,,,,,,,,,,
43,4,,,4,10,8,,,,,7,
44,10,8,10,8,10,,9,10,8,,9,8
45,8,,,,,,,,,,10,8
46,9,10,10,10,9,8,10,10,10,8,,
47,,8,10,9,,,9,,,,8,
48,,10,,10,9,,,9,10,9,9,
49,,,,,,,,,,,,
50,10,9,,9,10,,,8,10,,,7
51,10,10,10,10,9,9,10,9,,9,7,10
52,,10,,10,10,,,,,,10,
53,,,,,,10,,7,,9,10,
54,,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1
55,-1,,,,8,,,7,8,,8,
56,,,,,,,,,,,,
57,10,,,,,,,8,,9,,
58,,,,,,,,10,,,,
59,,,,,,,,,,,,
60,10,,,,,,,,9,,,10
61,,,,,,,,,,10,9,8
62,,,,,,,,10,10,,8,
63,,,,,,,,,,,,
64,,,,,,,,,,9,,
65,,,,,,,,,,,,
66,10,,,,,10,,7,,-1,,8
67,,,,,,,,,,,,
68,8,,,,10,,,9,9,,8,8
69,,,,,,,,10,,,9,
70,,,,,10,,,,,,,
71,,,,10,-1,,,,,10,10,9
72,8,,7,,,,,,,,,
73,9,8,9,9,9,,8,8,9,10,9,
74,,,,,,,,,9,,,
75,,9,,9,,,,10,,,,
76,,,,,,,10,,,,,
77,10,,10,,,,10,8,8,7,8,7
78,,,,,,,,,,10,,
79,10,,10,,10,,9,9,8,,10,9
80,10,,10,,,,10,10,10,,,8
81,10,9,,9,10,10,,5,9,8,7,8
82,10,,,,,,,,-1,,,
83,,,,,,,,,,,,
84,10,,10,,,,,9,,,,8
85,,,,,,,,8,,,,
86,,,,,,,,,,,,10
87,10,,,,,,10,10,10,8,,
88,,,,,,,,10,,,,10
89,-1,,,,,,,,-1,,,-1
90,,,,,,,,-1,10,,,
91,,,,,,,,10,,,,
92,,,,,,,,,,,,
93,,,,,,,,,9,,8,
94,,,10,,,,,,,,,
95,9,,10,,10,10,10,,,10,8,
96,,,,,,,,,,,,
97,9,9,,9,,,,10,,,6,
98,,9,,9,,7,,10,-1,9,9,
99,10,9,9,9,9,10,,6,6,8,6,8
100,,,,,,,,,,,,
101,,,,,,,,,,,,
102,,10,9,8,9,9,9,,9,8,9,6
103,,,,,,,,,10,,,
104,9,10,,9,,,,10,8,,7,7
105,10,,,,,,,10,,,,10
106,,,9,,10,,,10,10,,10,
107,,,,,,,,8,,8,,
108,,10,,9,,10,,9,,,,6
109,,,,,,,,,10,,9,
110,10,,,,,,,10,10,,10,7
111,,,,,,,9,7,8,,,8
112,,,,,,10,,10,10,,,
113,,,,,,,,,,,,
114,,,,,,,,,,,,
115,,,,,,,,,,,,
116,,,,,,,,,,,,
117,9,,,,,,,9,,,,
118,9,8,,8,,,,9,9,7,,7
119,,,,,,,,,,,,
120,,,,,,10,,9,9,9,,
121,,,,,,,,10,,,9,
122,,,,,,,,,,,,8
123,,,,,7,,,8,10,,,
124,10,,,8,,,,7,,,,5
125,,,,,,,,9,,,6,
126,,,,,,,,8,,,8,
127,,,,6,,,,7,10,,5,
128,10,,10,,,,10,10,,8,,10
129,9,10,9,10,10,,9,10,10,10,9,
130,,,,,,8,,,9,9,10,
131,,,,,,,,,,,,
132,,,10,,9,,,10,10,8,,
133,,,-1,-1,,,,,-1,,,
134,,,10,,,,10,,,,,
135,,,,,,7,,,,8,,
136,,,,,,,,,,,,
137,10,,,,,,,,,,,8
138,,,,,,,,,,,,
139,10,7,8,7,9,,8,8,7,,5,
140,8,7,,8,10,,,7,9,,,7
141,,,,,,,,8,9,,,
142,8,,9,,,,9,9,8,,,10
143,,,,,,,,-1,,,-1,
144,9,,,,,9,,,,8,9,
145,-1,,,,,,,-1,-1,,-1,
146,,,,,,,,10,,,,
147,,,10,,,,10,,10,8,,
